id;comments;category
1;Arey they cousins???;0
1;Bb;0
1;.b ..;0
1;B;0
1;unknown;0
1;smiling_face_with_heart-eyes;1
1;unknown;0
1;Which filter u use please tell;0
1;pleading_face pleading_face;0
1;unknown;0
1;unknown;0
1;red_heart;1
1;unknown;0
2;very 90s raveena tandon photoshoot aura of you;0
2;white_heart sparkles;0
2;unknown;0
2;tariniiii;0
2;loudly_crying_face growing_heart;0
2;unknown;0
2;You may even call me desperate;0
2;loudly_crying_face;0
2;face_with_peeking_eye;0
2;I can just comment (flirt with you) on all your posts whether you see, reply or not;0
2;loudly_crying_face loudly_crying_face;0
2;you are just the gorgeous one;1
2;weary_face weary_face loudly_crying_face loudly_crying_face;0
2;face_holding_back_tears  face_holding_back_tears;0
2;growing_heart growing_heart;0
2;unknown;0
2;unknown;0
2;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes;1
2;unknown;0
2;unknown;0
2;linked_paperclips linked_paperclips linked_paperclips;0
2;unknown;0
2;Always dreamy;0
2;two_hearts;0
2;unknown;0
2;Slay slayyyyyy;0
2;pinched_fingers_medium_skin_tone sparkles ribbon;0
2;unknown;0
2;Taylor's long distance daughters- @tarini_shah & @the.rebel.kid  heart_hands;0
2;unknown;0
2;fire;1
2;unknown;0
3;unknown;0
3;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes;1
3;unknown;0
3;unknown;0
3;red_heart red_heart sparkles sparkles;1
3;unknown;0
3;She's so beautiful;0
3;loudly_crying_face loudly_crying_face kiss_mark;0
3;girlll cute sexy chubby I love her so much;0
3;unknown;0
3;red_heart;1
3;unknown;0
3;Come back to Mumbai...we are missing you;0
3;Looking lovely dear;0
3;smiling_face_with_hearts red_heart;1
3;unknown;0
3;So pretty;1
3;sparkles sparkling_heart;0
3;unknown;0
3;So pretty love;1
3;red_heart red_heart;1
3;unknown;0
3;She's so prettyyy;0
3;loudly_crying_face loudly_crying_face red_heart red_heart;1
3;unknown;0
3;just like a movie,no doubt I had fallen for you but you left me with your love and never came back again;1
4;unknown;0
4;red_heart;1
4;unknown;0
4;unknown;0
4;nazar_amulet nazar_amulet nazar_amulet nazar_amulet nazar_amulet;0
4;unknown;0
4;unknown;0
4;fire fire red_heart;1
4;unknown;0
4;unknown;0
4;red_heart red_heart red_heart red_heart;1
4;unknown;0
4;Man really, y’all make anyone famous these days;0
4;Cutiee;0
4;smiling_face_with_heart-eyes;1
4;unknown;0
4;Hiii;0
4;Congratulations!;0
4;I think noone these articles...;0
5;#shahbazkhanworld;1
5;musical_note SOON_arrow;0
5;unknown;0
5;fire;1
5;unknown;0
5;R;0
5;2nd slideeeee >>>>>>>>;0
5;unknown;0
5;smiling_face_with_heart-eyes smiling_face_with_heart-eyes smiling_face_with_heart-eyes;1
5;unknown;0
5;Aap Pasha kaha sa aatha h;0
